prog,malloc,threads,time,cycles,galois,push,pop,emptypop,npush,npop,nemptypop,good,bad,empty,work_cyc,ngood,nbad,nempty,work_n,qpopfast,qpopfastcyc,qpoplocal,qpoplocalcyc,qpopremote,qpopremotecyc,qpopempty,qpopemptycyc
testrun3/sssp-obim_clique4000_d4,libc,176,0.062784295,26520086208.0,1039095501.0,41353788.0,66540568.0,18202745256.0,22089.0,26088.0,2831134.0,5948403065.0,1214310405.0,7637625.0,7170351095.0,15996000.0,3244364.0,21059.0,19261423.0,24504.0,23254671.0,107.0,469849.0,1477.0,4327176.0,10767977.0,10936408546.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.07142244375,30168840240.0,951943128.0,153704880.0,71616883.0,21181130952.0,21706.0,25705.0,2585065.0,6324325523.0,1478004673.0,8114201.0,7810444397.0,15996000.0,3626416.0,20534.0,19642950.0,24114.0,24731235.0,91.0,406987.0,1500.0,4952270.0,11867353.0,13052018443.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.089179605,37669465152.0,1489323815.0,38179479.0,72571118.0,28457496622.0,22521.0,26520.0,4608064.0,6218085195.0,1385365205.0,8443718.0,7611894118.0,15996000.0,3440146.0,21377.0,19457523.0,24920.0,25461535.0,109.0,480955.0,1491.0,4610236.0,15540479.0,16812519222.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.06732078,28436297472.0,992963200.0,37414863.0,67280679.0,19964605231.0,21640.0,25639.0,2628257.0,6034156754.0,1332278225.0,7598520.0,7374033499.0,15996000.0,3519178.0,20505.0,19535683.0,24059.0,23085034.0,64.0,260653.0,1516.0,4522381.0,11808462.0,12256539879.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0780247766667,32957665664.0,1109947482.0,162740805.0,76550453.0,23445674279.0,22000.0,25999.0,3209805.0,6640767963.0,1512612864.0,9371818.0,8162752645.0,15996000.0,3685992.0,20825.0,19702817.0,24400.0,26055356.0,92.0,423480.0,1507.0,4583927.0,12708440.0,14171285203.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0901185883333,38066091712.0,1369414642.0,71549799.0,69786556.0,28698735624.0,22425.0,26424.0,3832454.0,6350435717.0,1498216769.0,7952605.0,7856605091.0,15996000.0,3829023.0,21222.0,19846245.0,24825.0,24470315.0,101.0,436523.0,1498.0,4349629.0,16586170.0,17502398286.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0634837466667,26815534592.0,941434648.0,51896132.0,64316663.0,18567607973.0,21527.0,25526.0,2547920.0,5821092789.0,1361900046.0,7286341.0,7190279176.0,15996000.0,3673756.0,20361.0,19690117.0,23927.0,22341742.0,102.0,415682.0,1497.0,4296378.0,11210144.0,11361503760.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0724368933333,30597343744.0,1037736292.0,50916689.0,70034552.0,21824532983.0,21566.0,25565.0,2626204.0,6242533993.0,1363762121.0,7827114.0,7614123228.0,15996000.0,3491544.0,20428.0,19507972.0,23982.0,23917996.0,101.0,426156.0,1482.0,4883517.0,12630831.0,13501763329.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0646151916667,27293456960.0,957679884.0,40072576.0,68690451.0,18604578852.0,22090.0,26089.0,2623803.0,6182931761.0,1431547082.0,7956354.0,7622435197.0,15996000.0,3688151.0,20895.0,19705046.0,24509.0,23995721.0,84.0,343859.0,1496.0,4409017.0,10869855.0,11317536242.0
testrun3/sssp-obim_clique4000_d4,libc,176,0.0682504933333,28829008384.0,947367075.0,109317956.0,67839405.0,20205255691.0,22037.0,26036.0,2635170.0,6079411406.0,1412181199.0,7635652.0,7499228257.0,15996000.0,3717643.0,20850.0,19734493.0,24456.0,23494026.0,83.0,375256.0,1497.0,4359690.0,12078159.0,12463404206.0
