==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm1  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm1 -startNode 12 /specific/disk1/home/mad/Galois-PQ/inputs/twitter40.gr
INFO: Hostname rack-mad-04
Read 61578415 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 4294967294
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,11073564,0,0,0,0,0,3674892,0,0,0,0,0,0,5498964,0,0,1899708
STAT,(NULL),BarrierTime,16,4809538225,105955,139466151,133592239,340507112,293860090,730919058,171840868,123600655,175667791,276846908,408707276,443601145,367334210,379729152,347301516,476458099
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,21112323486,35736,1227103323,1841607015,1917658189,1893463146,922377388,1918284825,1168569323,1081415401,507111335,1914426466,1802544230,1722458302,1843715827,1096423775,255129205
STAT,(NULL),EmptyWork,16,4491,0,461,0,0,0,0,0,1948,0,0,0,522,528,583,449,0
STAT,(NULL),GaloisTime,16,2451268480,472092,142983575,213325128,218395137,215119022,109998387,216557593,131111186,124047063,64645198,215580613,207372884,199893194,215946714,138348941,37471753
STAT,(NULL),InitPushTime,16,67687710588,4531264485,4391775056,4397575649,4190647284,4237309354,3800176870,4359203907,4407475272,4355373798,4254257623,4122255581,4087361426,4163630729,4151200701,4183650455,4054552398
STAT,(NULL),Iterations,16,507,63,69,10,2,5,65,3,16,18,59,5,8,12,14,52,106
STAT,(NULL),LoopTime,16,8582362934,8582362934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,5664,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
STAT,(NULL),MeminfoPre,16,5664,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
STAT,(NULL),NumaPost,16,1416926,1410721,1761,2718,1726,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,1392793,129449,174178,30429,10560,19014,188041,9504,58276,64182,151882,18762,28218,52914,41928,149275,266181
STAT,(NULL),PushTime,16,10076707676,2040164744,708328472,79760540,75811,27037918,1049778438,1269251,807863899,897156740,1473182699,5989095,123369422,208064235,74880660,867541118,1712244634
STAT,(NULL),RusageSys,16,424000,424000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,48112000,48112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,8673771396,8673771396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,128344992932,128344992932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,536876241,95359574,57572488,1439376,21513,522623,53815263,41206,28558189,33478656,91070791,143030,2841647,5692508,1576366,33697974,131045037
STAT,(NULL),Work,16,34179970000,2136236123,2136274748,2136225514,2136243245,2136225116,2136246965,2136334130,2136252654,2136250788,2136228934,2136221572,2136220064,2136225035,2136225387,2136339431,2136220294
STAT,(NULL),nBad,16,15663,0,0,0,0,0,5955,0,0,0,0,0,0,6460,0,0,3248
STAT,(NULL),nEmpty,16,6,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
STAT,(NULL),nEmptyPop,16,19684941,35,1106716,1703064,1764201,1734325,908327,1735992,1093456,1030629,521626,1745983,1665847,1599081,1717844,1071405,286410
STAT,(NULL),nOverall,16,709691,125728,78721,1510,4,535,80241,26,38725,41357,120545,120,2971,6640,1778,38450,172340
STAT,(NULL),nPop,16,507,63,69,10,2,5,65,3,16,18,59,5,8,12,14,52,106
STAT,(NULL),nPush,16,415140,70446,39339,1343,3,483,40020,25,24624,28873,74010,115,2578,4976,1371,28928,98006
STAT,(NULL),nPushInit,16,1001061,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62556
==== BENCHMARK TOOK 59.527
