==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm2048  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm2048 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/planar10M.gr
INFO: Hostname rack-mad-04
Read 10000000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 7300
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,6328237814,330461897,399091768,397773123,391831640,433819524,395225643,400406730,399191408,387066885,398820556,410842642,391678156,400619298,396780471,391019453,403608620
STAT,(NULL),BarrierTime,16,2404397,330653,278432,247264,218073,218162,201602,187145,78544,106450,107153,107288,79567,55122,79946,76554,32442
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,313959603,15843917,24248871,20870535,23706134,11317549,18082209,25014844,19034664,25196632,19131491,13098177,21975031,22432809,18694413,24042224,11270103
STAT,(NULL),EmptyWork,16,3084782051,170886449,199092466,196092811,194577654,191477573,194082142,193104253,195012740,191680036,190599514,197625572,194020827,194210702,193061024,196067034,193191254
STAT,(NULL),GaloisTime,16,16225094551,945181737,1018493646,1019879909,1016836776,1020175899,1020254708,1020946691,1021761436,1021085220,1013561914,1023805854,1014230847,1018830969,1021035219,1015728648,1013285078
STAT,(NULL),InitPushTime,16,485729,29192,10824,45782,10627,11079,10366,2434,50427,45769,46051,45857,35173,35944,34578,35895,35731
STAT,(NULL),Iterations,16,24791974,1151323,1577609,1578441,1574555,1571650,1580495,1573547,1582958,1573263,1567431,1587630,1575643,1567753,1585672,1582290,1561714
STAT,(NULL),LoopTime,16,16808997469,16808997469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,944,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
STAT,(NULL),MeminfoPre,16,944,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
STAT,(NULL),NumaPost,16,10884,9311,211,1168,194,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,129058424307,8972498006,8060908569,8066752991,7973191811,7914660883,7991906608,8022246767,8055901910,8022400662,7928019531,7983822970,7988646395,7976466319,8018733564,8106617820,7975649501
STAT,(NULL),PushTime,16,51284689169,2864589128,3155590148,3168643391,3274014339,3326839088,3250328763,3195335736,3165242723,3206083242,3335582930,3243177823,3237271548,3256866257,3198602247,3122206514,3284315292
STAT,(NULL),RusageSys,16,116000,116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,121300000,121300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,16853372580,16853372580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,27065935436,27065935436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,66823747832,3705418548,4216085059,4202179719,4192091538,4209947833,4199763679,4217770847,4217466171,4207973215,4187523612,4212887883,4218273412,4205610841,4224292747,4209755890,4196706838
STAT,(NULL),Work,16,266792120247,16674533072,16674528431,16674498887,16674498116,16674498872,16674497983,16674522319,16674527602,16674498311,16674498365,16674498104,16674497813,16674527827,16674498407,16674498037,16674498101
STAT,(NULL),nBad,16,12913489,672416,807337,809232,793961,907515,808869,810114,809790,788454,818541,844610,798409,812598,806761,799685,825197
STAT,(NULL),nEmpty,16,13730042,623570,874921,878509,871643,865621,877560,870045,880408,871002,867135,882938,873393,866630,879172,883205,864290
STAT,(NULL),nEmptyPop,16,54314,1906,4114,3735,4495,1921,3457,4053,2993,4557,3512,2288,3938,4239,3589,3693,1824
STAT,(NULL),nOverall,16,132913277,6342338,8442335,8411584,8444551,8483951,8446359,8453702,8437648,8438526,8418757,8466252,8435857,8424944,8488143,8397603,8380727
STAT,(NULL),nPop,16,24791974,1151323,1577609,1578441,1574555,1571650,1580495,1573547,1582958,1573263,1567431,1587630,1575643,1567753,1585672,1582290,1561714
STAT,(NULL),nPush,16,24791967,1188909,1570555,1570688,1577808,1574021,1574806,1579490,1571870,1576586,1571766,1574883,1574804,1574549,1581042,1565946,1564244
STAT,(NULL),nPushInit,16,7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
==== BENCHMARK TOOK 13.142
