==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-klsm256  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl klsm256 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/road/USA-road-t.USA.gr
INFO: Hostname rack-mad-04
Read 23947347 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 5062
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,5830532944,197412144,166705031,183624068,181676585,187598865,192942791,187634746,193202599,177393428,178943684,169117154,195027341,176895509,172404151,196447164,205101529,174099937,190896238,180397348,179926877,170397300,197102144,176394376,189782382,161763598,164986675,192019105,173640772,180138994,177163566,175794623,183902220
STAT,(NULL),BarrierTime,32,10242180,742876,646229,441214,437792,423644,526562,529299,467074,469071,296235,465996,430918,327958,429862,413939,264923,250519,377993,361880,337917,337380,259349,178979,143714,41718,142833,142469,142661,16238,143312,10860,40766
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,1726788378,53674923,55081461,55090668,55416938,53707788,54226361,55696127,59893400,54548050,56044743,54455590,57101403,54059077,53481754,55666072,58447359,54284395,56316008,55004988,52956910,53891314,53088265,52982968,50394056,50411249,54632161,52721804,50780884,49211066,50992522,50329987,52198087
STAT,(NULL),EmptyWork,32,919790321,20680658,27112046,27624930,27097396,27444034,27369451,27437965,27135751,27523311,27457290,27074690,27536540,27565371,27045700,26945220,27205054,27236225,26815077,27443379,27316995,27505076,27277847,32392762,32672461,33523526,32163080,33808443,32708811,32072262,32213598,32119242,32266130
STAT,(NULL),GaloisTime,32,29929300730,866304587,950530839,950332265,959865071,952763363,958581590,955682165,951060573,949539608,952192691,950763723,957267803,953508668,955184189,949618088,951179121,946528464,960214540,954587886,948734785,947134719,946816018,905385232,905277579,904529306,909991892,908418914,907200209,901311675,905843670,905330746,907620751
STAT,(NULL),InitPushTime,32,1983390,31552,10083,133215,41044,40434,36338,36708,36708,36207,66660,35631,35464,35303,34623,35546,35640,35200,34138,33774,34480,34614,34451,112574,112119,111987,111884,111906,111973,111951,111841,112618,86724
STAT,(NULL),Iterations,32,28655539,638598,916323,917224,922249,919632,924612,916546,917363,916956,921027,919650,922160,920274,923546,915049,914721,913098,921431,918527,918258,914654,915555,867823,872563,870454,875854,873046,873509,868759,873456,874900,877722
STAT,(NULL),LoopTime,32,10683009987,10683009987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,32,2240,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
STAT,(NULL),MeminfoPre,32,2240,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
STAT,(NULL),NumaPost,32,13368,9480,2511,1176,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,32,171788087150,6098062822,5342769568,5338962176,5330842619,5338136446,5334237007,5348034722,5344363969,5339643947,5333056610,5343491486,5329483873,5340618287,5330647740,5347628872,5349675574,5347976642,5332293517,5327767179,5351917884,5349778987,5354779419,5361098140,5361332597,5352864944,5340327821,5347298360,5349867915,5352671221,5366699992,5347475594,5354281220
STAT,(NULL),PushTime,32,58754534833,1569712450,1887202596,1893453529,1880655602,1898999377,1885350927,1879838017,1878434199,1887052937,1891459757,1885434435,1886754924,1886028549,1888108058,1879577008,1872424376,1885700745,1885516199,1896336555,1874563816,1884182214,1876777938,1755514931,1752338981,1768842269,1761866860,1755596660,1756632602,1777406442,1745215073,1772795752,1754761055
STAT,(NULL),RusageSys,32,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,32,152288000,152288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,32,10714143462,10714143462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,32,19207831776,19207831776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,32,71545588814,1849814304,2195556704,2192788781,2204374902,2187202612,2198486676,2191564087,2197364165,2199945858,2198039121,2197033165,2200108807,2196473334,2203786789,2198817866,2199322564,2196525416,2197098416,2197113451,2202762987,2195758194,2199513539,2350878774,2356236978,2348081737,2359271496,2360409090,2361062811,2345580268,2357288353,2350201932,2357125637
STAT,(NULL),Work,32,334668862694,10458374532,10458374474,10458475674,10458467251,10458480955,10458365674,10458354893,10458357442,10458353282,10458464252,10458353029,10458356668,10458460893,10458354089,10458374013,10458465673,10458482475,10458359366,10458375485,10458353291,10458351555,10458477416,10458351495,10458351482,10458463525,10458351643,10458361417,10458351613,10458488116,10458351442,10458494874,10458464705
STAT,(NULL),nBad,32,6329931,208174,184475,200320,198193,204932,208784,199075,209272,188902,195280,183986,213913,194218,190165,214335,223759,189277,209571,197209,196474,188058,217137,188749,201468,174945,179353,205391,187741,195475,193639,190327,197334
