==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm4096  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm4096 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/clique4000.gr
INFO: Hostname rack-mad-04
Read 4000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 3
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,204648724,11780974,7869658,19773984,15885390,15544628,14791612,16565210,12729178,12491062,8594030,19212146,9898238,9535422,9534730,11466054,8976408
STAT,(NULL),BarrierTime,16,2377182,97850,309260,290804,256884,77084,222368,215612,29368,145810,126404,100606,125618,122656,125904,121454,9500
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,35728109,1795233,2870044,2019886,1063532,2428148,2763556,2515874,2698988,2845482,1569746,1622006,2447336,2036636,2679048,958868,3413726
STAT,(NULL),EmptyWork,16,3829854,1086,3490,56986,3992,119144,167122,85150,1335062,30036,4330,1602,2720,2974,251020,4516,1760624
STAT,(NULL),GaloisTime,16,17388212,782906,866170,780756,640614,910142,974778,880758,2641556,836884,678972,714452,798668,733178,1156388,670594,3321396
STAT,(NULL),InitPushTime,16,7296394,689906,416376,423978,409658,552635,412922,418444,529135,436846,414792,441382,415840,418708,415206,418528,482038
STAT,(NULL),Iterations,16,21261,177,281,517,285,790,1005,646,6234,396,284,276,279,280,1389,286,8136
STAT,(NULL),LoopTime,16,277645467,277645467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),MeminfoPre,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),NumaPost,16,6214,5078,65,1023,48,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,37688843,646969,747194,1130470,736122,1541536,1920970,1202094,9770234,967962,821784,763368,708914,778970,2399920,859242,12693094
STAT,(NULL),PushTime,16,34704097,1838859,2435088,2115194,2549058,2409966,2086958,2208744,1696082,1878752,2489072,2498608,2027314,2338484,2198690,2250234,1682994
STAT,(NULL),RusageSys,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,2004000,2004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,320327303,320327303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,1863878607,1863878607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,4286384073,270913653,269061240,269879146,270989236,268573562,268069544,269090208,257839840,269424528,270418304,270383448,269998532,270093440,267297940,271240034,253111418
STAT,(NULL),Work,16,4417137686,276068718,276070472,276071178,276070634,276071264,276070926,276071668,276070416,276071788,276070826,276071832,276071556,276071350,276072026,276071044,276071988
STAT,(NULL),nBad,16,811812,48000,32000,80000,64000,62231,60000,67108,51461,50477,32000,72000,40000,36000,36000,44000,36535
STAT,(NULL),nEmpty,16,17056,2,11,246,13,520,736,376,5975,125,13,5,8,9,1121,14,7882
STAT,(NULL),nEmptyPop,16,27164,1583,2203,1555,793,1757,2007,1867,1964,2131,1165,1228,1887,1567,2081,812,2564
STAT,(NULL),nOverall,16,16807812,700000,1080000,1084000,1088000,1078231,1076000,1079108,1031461,1082477,1084000,1084000,1084000,1084000,1072000,1088000,1012535
STAT,(NULL),nPop,16,21261,177,281,517,285,790,1005,646,6234,396,284,276,279,280,1389,286,8136
STAT,(NULL),nPush,16,17262,684,1204,1074,1234,1137,1059,1043,879,1017,1167,1304,1124,1189,1039,1227,881
STAT,(NULL),nPushInit,16,3999,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
==== BENCHMARK TOOK 1.709
