==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/ljournal-2008.gr
INFO: Hostname rack-mad-04
Read 5363260 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 126
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,128059463998,6695489650,8069088055,8074288468,8114520569,8108404538,8115353249,8091485984,8107129601,8101940795,8119423481,8110903851,8062750112,8083735545,8100404035,8057402162,8047143903
STAT,(NULL),BarrierTime,16,2376738,307132,3414,250797,246922,242361,242624,241268,91712,96050,98008,97018,97602,97632,97689,136358,30151
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,19601328,674000,1030715,1211308,730772,1209899,1377339,1630360,1346216,1282920,1109757,1595393,1706083,1340223,1030862,1440268,885213
STAT,(NULL),EmptyWork,16,3599879888,223325075,220904124,218779361,221303292,227587096,225446055,221196923,219294251,230089816,229565130,232524370,233735488,220058603,225168466,230214415,220687423
STAT,(NULL),GaloisTime,16,19569636804,1311810664,1219511664,1216115801,1220126754,1218944250,1220716142,1214289040,1216492267,1218643364,1218948087,1221508994,1217328354,1216266320,1220722155,1208951469,1209261479
STAT,(NULL),InitPushTime,16,842807,3008,290804,46279,39066,39202,38571,39102,39925,39360,38644,38392,38353,38104,38007,38065,37925
STAT,(NULL),Iterations,16,34162257,1785746,2158312,2165103,2167238,2160378,2162906,2163003,2156513,2158445,2157294,2156270,2165417,2155591,2158712,2147537,2143792
STAT,(NULL),LoopTime,16,15958138164,15958138164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,512,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
STAT,(NULL),MeminfoPre,16,512,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
STAT,(NULL),NumaPost,16,3587,2185,157,1112,133,0,0,0,0,0,0,0,0,0,0,0,0
