==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/scalefree/rmat16p-2e27.gr
INFO: Hostname rack-mad-04
Read 134217728 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 0
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,336245603537,8853699558,10590766592,10231463307,10222181841,10088671360,10511210285,10214352994,10255249208,10193382025,10422756854,10403847231,10379733123,10505473390,10032962140,9984099603,10250121735,10175257067,10319744610,10187698054,10171528740,10195886618,10313969009,11159675617,11038885463,11397298450,11295352050,11195559690,11114213207,11082522536,11188651885,11232500046,11036889249
STAT,(NULL),BarrierTime,32,385262666,20508,12397151,12370017,12880075,12421925,13007698,12415422,12470244,12323399,11527891,12434649,13353424,12542638,12406081,13070249,12433717,12375110,13128511,12444583,12366698,13125658,12749959,11976863,11974236,12460824,11433670,11838642,11941800,12011708,12512695,12121806,12724815
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,27297975,961700,770986,564602,959100,963435,1125108,931405,1017987,982658,1022857,883878,921139,902455,914817,646628,802955,1137205,824478,491707,962119,1038153,777355,866973,349816,1047672,767498,918546,1159696,784653,108086,750658,941650
STAT,(NULL),EmptyWork,32,37293892792,1180394808,1194327086,1155550581,1172146802,1163746568,1174506921,1187472669,1141621738,1181452296,1188820842,1155607699,1169500464,1186192078,1155900834,1185340141,1207392665,1175619066,1138466173,1136980706,1172109568,1171955708,1159807884,1158242984,1149763699,1163457986,1147144880,1124998546,1134029228,1149207238,1143886146,1199476040,1168772748
STAT,(NULL),GaloisTime,32,70482282102,2500284147,2169185015,2193115879,2226565471,2182594192,2187021883,2188677368,2182853377,2219169543,2201347638,2131741663,2175512233,2179986634,2188400652,2168866519,2209655129,2169833019,2188851055,2147956564,2153902614,2186701146,2143798199,2212207411,2196771432,2210108754,2229013398,2201269475,2231285427,2210829444,2203578630,2250481001,2240717190
STAT,(NULL),InitPushTime,32,1312932044,53398620,40933560,40908925,40338802,40777176,40190085,40782666,40676425,40783169,41579797,40669932,39733244,40558271,40695849,40026314,40616558,40681863,39885915,40571468,40648954,39889019,40263374,40956773,40961377,40474122,41501499,41096867,40995056,40923241,40422629,40814003,40176491
STAT,(NULL),Iterations,32,216411537,5746401,6723517,6793789,6897661,6786777,6783657,6814080,6768965,6853797,6848802,6622564,6761100,6784464,6794330,6734106,6852336,6718374,6785587,6658891,6689337,6783206,6674186,6821078,6792534,6829177,6870872,6788012,6906974,6839866,6833521,6926362,6927214
STAT,(NULL),LoopTime,32,73640077064,73640077064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,32,12320,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
STAT,(NULL),MeminfoPre,32,12320,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
STAT,(NULL),NumaPost,32,6844763,4471864,2105030,134332,133537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
