==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl obim -startNode 12 /specific/disk1/home/mad/Galois-PQ/inputs/twitter40.gr
INFO: Hostname rack-mad-04
Read 61578415 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 4294967294
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,564825994613,32155759635,34556615527,35395291718,33752557246,35734880575,36442652780,36031774319,35376487735,34070822181,35564968648,34027889456,35898790085,34711495880,38041967812,37826128649,35237912367
STAT,(NULL),BarrierTime,16,1336038,55159,72871,81218,52809,55526,329093,37825,23884,55249,63448,72463,273432,53100,39709,6995,63257
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,5243610208,358687724,347653825,350150585,346564593,346718935,349160498,349214939,83436,352719681,351207587,350128128,348201379,346470421,345741294,349597356,351309827
STAT,(NULL),EmptyWork,16,21522544976,1399623222,1403759307,1349625848,1455465343,1237427695,1259138475,1392944768,1290820926,1284935200,1428452133,1371450633,1348712322,1380390759,1330001027,1278362029,1311435289
STAT,(NULL),GaloisTime,16,51564473718,3776254934,3302851491,3266766084,3495114290,2974826193,3065290196,3281006578,3046181568,3080777970,3369101034,3248549708,3137318247,3167634406,3130325619,3041127938,3181347462
STAT,(NULL),InitPushTime,16,558133451,35183234,35042603,35033340,34947670,34925324,34639898,34942809,34902891,34877267,34830224,34820918,34621582,34841021,34854485,34885169,34785016
STAT,(NULL),Iterations,16,122481273,6853591,8002943,7966714,8428147,7228642,7378246,7982634,7390212,7404729,8164233,7905483,7586750,7606816,7580538,7339628,7661967
STAT,(NULL),LoopTime,16,113697634202,113697634202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,5664,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
STAT,(NULL),MeminfoPre,16,5664,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
STAT,(NULL),NumaPost,16,1401523,1395348,1747,2702,1726,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,162388553891,11809655509,10418903939,10381033895,10981975164,9426976700,9611408123,10397854367,9623475187,9650102942,10626514282,10282684500,9872576212,9894210180,9863843731,9570055569,9977283591
STAT,(NULL),PushTime,16,52864521369,3408220874,3281864399,3271607572,2991522189,3683852231,3362026546,3270353353,3205593857,3669877765,3161823933,3323965527,3161008431,2986010038,3508796979,3435638871,3142358804
STAT,(NULL),RusageSys,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,813960000,813960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,113706177673,113706177673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,229412484630,229412484630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,1494400872021,90996593093,92994003228,93129851373,92478395305,94079234873,94102012973,93057661325,94582880390,93710623499,92811936189,93172256999,93881220205,93974320762,93570326871,94074253792,93785301144
STAT,(NULL),Work,16,1787985713812,111749114618,111749106277,111749106744,111749106568,111749107068,111749106711,111749105837,111749106350,111749106440,111749106395,111749106386,111749106444,111749106938,111749107199,111749106838,111749106999
STAT,(NULL),nBad,16,793484719,45300940,48903998,49680928,47770679,49484362,50817351,50568354,49637562,47995615,50130313,48012134,50267738,48902193,53524181,53088192,49400179
STAT,(NULL),nEmpty,16,56001858,3274173,3606752,3651342,3877241,3242776,3444288,3656589,3488944,3185260,3725197,3581089,3457534,3517639,3581639,3235384,3476011
STAT,(NULL),nEmptyPop,16,2665549,117117,181128,180636,180949,182153,183397,182586,42,183116,181099,182962,181549,182175,181364,182428,182848
STAT,(NULL),nOverall,16,2208283196,122252315,138063193,139138513,139366978,137773780,140173481,137688630,141632784,138436623,138797479,138651250,139941120,139509427,139129845,138696204,139031574
STAT,(NULL),nPop,16,122481273,6853591,8002943,7966714,8428147,7228642,7378246,7982634,7390212,7404729,8164233,7905483,7586750,7606816,7580538,7339628,7661967
STAT,(NULL),nPush,16,121480212,6257264,7627224,7600019,6896012,8643643,7857567,7612995,7458269,8612434,7336354,7744548,7371799,6925561,8214611,8025733,7296179
STAT,(NULL),nPushInit,16,1001061,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62567,62556
STAT,(NULL),qPopEmpty,16,7996497,351362,543398,541923,542862,546472,550201,547768,128,549297,543307,548884,544659,546425,544104,547238,548469
STAT,(NULL),qPopEmptyCyc,16,2146835737,98473448,144637190,148269452,145489920,143097076,145378691,147446849,36888,148989897,148571001,144607270,146572117,145225530,143867224,146846331,149326853
STAT,(NULL),qPopFast,16,120567080,6746490,7877863,7842207,8296428,7115661,7262932,7857876,7274738,7289008,8036643,7781933,7468171,7487927,7462055,7224919,7542229
