==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm128  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm128 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/planar10M.gr
INFO: Hostname rack-mad-04
Read 10000000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 7300
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,16064675,894082,1336363,1050652,908154,998783,852632,714428,811879,1037074,930947,965060,999642,1256728,1177607,1109358,1021286
STAT,(NULL),BarrierTime,16,2702817,414564,268771,285044,227383,249234,217773,206554,115022,77747,121680,121494,121495,90470,56217,81749,47620
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,1828567968,695261457,57210240,64482271,81377773,81935405,86311829,70631083,73811146,63708744,78862971,86126325,95471959,84012626,87672109,62713936,58978094
STAT,(NULL),EmptyWork,16,3597348445,119533597,221934684,225926671,239035080,239682783,239975565,223510865,223511793,233248415,237419913,240214683,241243523,234934718,244514560,218682081,213979514
STAT,(NULL),GaloisTime,16,14476392836,505689785,892675595,911977171,978207242,959053276,976636663,906384443,897357130,918185229,960389198,961322901,972517738,948698438,980489142,861284390,845524495
STAT,(NULL),InitPushTime,16,552816,6974,107454,12284,10951,2519,11531,10788,51395,47056,46861,46649,46130,45481,35476,35700,35567
STAT,(NULL),Iterations,16,22152789,639258,1370470,1398408,1506012,1476817,1506502,1397485,1380656,1407888,1484764,1482480,1500972,1463845,1515844,1321596,1299792
STAT,(NULL),LoopTime,16,43674993545,43674993545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,944,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
STAT,(NULL),MeminfoPre,16,944,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
STAT,(NULL),NumaPost,16,10240,8655,225,1166,194,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,179003886620,7362797637,11014503695,11211866531,11868030060,11672071261,11942012807,11141197741,11127571085,11285793777,11762766788,11706167251,11839227197,11654571140,11904785156,10849101287,10661423207
STAT,(NULL),PushTime,16,429815063906,32670614914,27169378786,26860859853,25777479230,26073605626,25699192144,26932263605,26995157309,26744778821,25966286390,26019871393,25803497055,26135905166,25693769793,27494244472,27778159349
STAT,(NULL),RusageSys,16,88000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,316844000,316844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,43728332533,43728332533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,55077774658,55077774658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,67695385793,2172174018,4170359909,4250915986,4581923811,4499692103,4581895994,4252062015,4208628077,4280331215,4520304546,4512323609,4574070189,4467916879,4614800976,4040007943,3967978523
STAT,(NULL),Work,16,696418545429,43526182420,43526160429,43526143657,43526185702,43526144133,43526175986,43526144303,43526144604,43526191975,43526143505,43526143202,43526143335,43526179485,43526175258,43526143563,43526143872
STAT,(NULL),nBad,16,33883,1756,2786,2201,1971,2116,1785,1518,1695,2233,1923,2060,2172,2722,2540,2292,2113
STAT,(NULL),nEmpty,16,12149949,350218,752639,767880,826119,808754,827079,767409,756747,772267,814531,812891,823444,802383,831829,723594,712165
STAT,(NULL),nEmptyPop,16,27748,1447,1643,1717,1747,1730,1832,1666,1776,1846,1882,1800,1648,1865,1839,1654,1656
STAT,(NULL),nOverall,16,120033671,3467442,7414478,7565463,8159985,8017650,8153321,7561058,7489269,7631471,8041599,8031732,8134896,7935322,8205454,7174208,7050323
STAT,(NULL),nPop,16,22152789,639258,1370470,1398408,1506012,1476817,1506502,1397485,1380656,1407888,1484764,1482480,1500972,1463845,1515844,1321596,1299792
STAT,(NULL),nPush,16,22152783,640976,1368498,1397330,1504490,1479730,1503941,1396389,1385122,1411802,1480820,1480270,1502169,1463877,1512890,1323195,1301284
STAT,(NULL),nPushInit,16,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
==== BENCHMARK TOOK 25.931
