==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm16  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm16 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/clique4000.gr
INFO: Hostname rack-mad-04
Read 4000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 3
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),BarrierTime,16,15280336,6548,1473552,1261812,888716,945964,1509012,1024732,1186384,1080580,1043388,724680,629412,1193816,979436,637576,694728
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,7503792,293064,300472,347332,196264,185116,250812,233012,1432458,265308,196708,285804,359432,376956,201952,285048,2294054
STAT,(NULL),EmptyWork,16,6097180,278136,229540,217456,219088,198076,266584,1442194,258188,272416,221412,225752,188248,1493782,207364,229100,149844
STAT,(NULL),GaloisTime,16,11629531,782503,748004,745044,720156,704064,782160,684748,761836,797220,717648,706976,672968,747100,690840,754944,613320
STAT,(NULL),InitPushTime,16,39453763,3605035,2081604,2250072,2589496,2532212,1916916,2401924,2202356,2314528,2352848,2666860,2713140,2149100,2363332,2703932,2610408
STAT,(NULL),Iterations,16,20252,1598,1279,1223,1238,1145,1447,1170,1390,1440,1238,1261,1099,1325,1187,1279,933
STAT,(NULL),LoopTime,16,288749033,288749033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),MeminfoPre,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),NumaPost,16,6777,5618,72,1045,42,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,168632657,11679523,11259314,11280302,10175158,10740290,10198002,9456436,9159620,11815210,11055554,11685598,10605146,9876308,9575646,11574590,8495960
STAT,(NULL),PushTime,16,217457200,12148938,12925166,14112666,13488816,13677712,13887156,13479674,13155640,13455148,14050040,13278880,14152956,13422126,14155850,13818718,14247714
STAT,(NULL),RusageSys,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,2088000,2088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,324380645,324380645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,2021207684,2021207684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,4138360073,259171141,258892456,257653208,259550320,258850264,258970472,259059928,259587328,257750192,258114908,258172092,258377284,258438788,259524120,257692556,258555016
STAT,(NULL),Work,16,4551096072,284443500,284443268,284443932,284437886,284443942,284444370,284443760,284443138,284443442,284444650,284443438,284444026,284444440,284443928,284443928,284444424
STAT,(NULL),nBad,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),nEmpty,16,16253,1312,1032,977,989,898,1198,922,1140,1194,991,1014,852,1078,937,1033,686
STAT,(NULL),nEmptyPop,16,1313,73,85,100,74,73,76,73,69,86,73,77,109,90,82,74,99
STAT,(NULL),nOverall,16,15996000,1144000,988000,984000,996000,988000,996000,992000,1000000,984000,988000,988000,988000,988000,1000000,984000,988000
STAT,(NULL),nPop,16,20252,1598,1279,1223,1238,1145,1447,1170,1390,1440,1238,1261,1099,1325,1187,1279,933
STAT,(NULL),nPush,16,16253,1135,1009,984,1005,1073,1000,967,977,955,1103,969,1075,974,1098,909,1020
STAT,(NULL),nPushInit,16,3999,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
==== BENCHMARK TOOK 1.785
