==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-klsm4  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl klsm4 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/road/USA-road-t.USA.gr
INFO: Hostname rack-mad-04
Read 23947347 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 5062
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,1074414,47434,16811,45042,9759,11157,16155,37160,19177,34455,31456,19005,22221,21970,16188,40096,22104,36645,10770,25759,12782,20899,5331,53543,70662,47589,83733,40917,24762,57925,34199,76112,62596
STAT,(NULL),BarrierTime,32,6712399,545379,450404,404731,356885,354167,382414,354401,251262,251564,250985,251686,316882,316423,253440,250952,123865,140894,139495,139754,139977,139622,156421,80837,80753,80894,80792,72529,80757,80933,80218,80980,22103
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,865322644840,33756139897,27745536001,27655443212,27390749556,26392416521,27537572144,27639353137,27672404510,27590774203,27452268649,27630000780,27513316609,27657239728,27528413727,27769276380,27677598258,27628697899,26608793796,27669231693,26809828145,27705591624,27760133048,25458193506,25599261723,25422354916,25203173822,25350005819,25696526879,25542622427,25879014975,25116109569,25264601687
STAT,(NULL),EmptyWork,32,805432819,10476676,20918078,20940606,22249189,21158208,21292642,21061441,20912992,20098245,22625405,21376270,21582991,21697815,21606414,21206374,21146708,20888231,20793498,21608116,20980289,21198009,21297375,34629499,35934259,34763511,36391403,34745863,34071628,34467997,33519572,35056760,34736755
STAT,(NULL),GaloisTime,32,30958416402,497754128,847325433,845635198,857339453,837384781,852701563,844853033,851898759,857989057,862542970,851415523,850856434,854004266,859137146,834180762,832663777,837010425,834505084,858108993,828308073,833886079,831904167,1286447596,1269257506,1284129463,1288835926,1270900813,1227646183,1271560858,1224073128,1292592752,1281567073
STAT,(NULL),InitPushTime,32,1751201,31032,18495,128654,36675,36641,36875,36900,37145,36717,36596,35680,35261,35209,34560,35710,37555,42094,43120,42347,42237,41927,65754,68926,105138,105145,105145,106201,68105,68472,68779,70151,57955
STAT,(NULL),Iterations,32,25574522,319385,696839,697866,706813,686044,705437,695951,696246,700457,704496,704313,703930,701312,707217,686293,682060,684047,686786,707188,674253,683441,681617,1066052,1067966,1076089,1085003,1077767,1028295,1072096,1018072,1089862,1081329
STAT,(NULL),LoopTime,32,90618087360,90618087360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,32,2240,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
STAT,(NULL),MeminfoPre,32,2240,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
STAT,(NULL),NumaPost,32,13134,9316,2607,1010,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,32,1102866291439,33590433659,33859101382,33943495382,34092545894,32562139642,33839733190,33901213256,33962393311,33981677169,33956063917,33787123840,33776818073,33684056732,33775076272,33412008612,33269738549,33416896181,32475572798,33742372725,32154880682,33377765284,33221476364,36568309050,36476146577,36769535991,36831755317,36693010955,35744158716,36686950704,35576788339,36904380666,36832672210
STAT,(NULL),PushTime,32,816249347033,21456588738,25832646174,25888921159,25969460367,28568240492,26085588313,25950321876,25837107528,25893075173,26044321777,26052514109,26176011618,26127518520,26148986196,26337408479,26570869488,26467407477,28445816412,26041336030,28590904259,26444833890,26553574880,23744951111,23754717406,23601423776,23739661851,23773814246,24559000389,23592508408,24553892091,23744032923,23701891877
STAT,(NULL),RusageSys,32,96000,96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,32,1315228000,1315228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,32,90655067748,90655067748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,32,98635857856,98635857856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,32,74027933158,1008294610,2014159814,1965255048,1987347330,1938349529,1982802256,1962886354,1974973114,1976074610,1981869217,1977259805,1981106016,1975173363,1986470114,1945608370,1947673218,1948790362,1934208720,1987031386,1914787561,1936416619,1931305366,3227157816,3184371150,3207481250,3219870564,3197210642,3058284399,3191578142,3052401002,3227515940,3204219471
STAT,(NULL),Work,32,2890232742959,90319787865,90319768350,90319772290,90319773122,90319776800,90319771826,90319769702,90319771830,90319772020,90319772859,90319771375,90319773001,90319771627,90319773702,90319771196,90319793601,90319771396,90319774279,90319771338,90319769705,90319772464,90319775459,90319770300,90319770412,90319770253,90319770238,90319785599,90319769497,90319769931,90319770755,90319769867,90319770300
STAT,(NULL),nBad,32,884,44,13,33,10,12,15,32,16,33,26,14,17,14,15,34,19,33,9,18,11,19,8,43,60,43,72,42,23,46,29,32,49
STAT,(NULL),nEmpty,32,1626861,19894,44227,44559,45110,43654,45016,44860,44171,44872,44963,45001,44665,44707,45241,43977,43293,43450,43604,45032,42656,43376,43588,67990,67803,68539,68983,68279,65328,67797,64561,69190,68475
STAT,(NULL),nEmptyPop,32,18342057,266957,521036,518950,518733,509121,523500,518032,517350,519122,519139,524894,522383,525116,527032,521356,517407,517429,513693,528445,511236,519951,518863,712562,720552,716911,715585,717824,712744,719503,714670,715390,716571
STAT,(NULL),nOverall,32,58334225,727330,1588351,1591593,1612357,1565146,1607682,1586602,1588553,1596896,1606549,1605775,1607973,1599488,1612843,1564234,1557709,1561388,1565794,1612103,1538660,1557780,1554241,2431605,2438070,2453953,2476569,2459049,2344187,2446249,2321513,2486694,2467289
STAT,(NULL),nPop,32,25574522,319385,696839,697866,706813,686044,705437,695951,696246,700457,704496,704313,703930,701312,707217,686293,682060,684047,686786,707188,674253,683441,681617,1066052,1067966,1076089,1085003,1077767,1028295,1072096,1018072,1089862,1081329
STAT,(NULL),nPush,32,25574519,319250,696724,697967,707223,686183,705297,695146,696430,700579,704177,703578,705392,702087,706861,685448,683350,684467,685586,706225,674625,682257,681199,1065998,1070069,1075674,1086271,1077330,1026567,1073079,1017604,1090445,1081431
STAT,(NULL),nPushInit,32,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==== BENCHMARK TOOK 45.733
