==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-klsm64  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl klsm64 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/road/USA-road-d.USA.gr
INFO: Hostname rack-mad-04
Read 23947347 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 2025
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,1760486235,78667677,52135646,49994068,50683839,53954946,52146211,53278912,53273777,52820743,57010796,57950384,52978436,52869780,56216778,51970002,52781329,50767930,53263138,56408107,52693495,52217330,54394525,56486909,55056382,57387159,56617023,57928937,53795831,55920310,55998989,56126721,56690125
STAT,(NULL),BarrierTime,32,11630212,773164,544738,582849,575708,560599,558467,555671,500890,358511,323828,459114,458386,459506,323782,455595,417293,420868,422552,424324,383349,381802,246170,159170,158598,159093,159088,159052,158921,158985,158504,159072,12563
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,11139080969,370491264,351738481,351415070,349580510,351271137,348830873,353856168,351991507,354375073,347231893,348017637,352552888,350719012,346344599,356293127,353829821,357145664,341576925,354372818,354628454,352904899,352667650,334018758,341754011,343749999,336875402,332443054,340918135,336983634,340965136,339597807,339939563
STAT,(NULL),EmptyWork,32,845834595,19270344,24745422,25006801,25219814,24967167,25277196,24957861,25057026,25191123,25287531,24948537,25043518,24995075,25180064,24809695,24641122,24946442,25152763,25211260,25303669,24877194,26088993,29840074,30113453,29954287,29865133,29940216,30072365,29899203,29805459,30094074,30071714
STAT,(NULL),GaloisTime,32,28367731642,784217063,902230980,898930857,905483781,902846736,906026513,903789720,900048676,902322589,903788056,905319465,904831477,902818676,907868911,893809487,899747001,895887526,907087068,908493843,900644865,893994871,899431635,861661255,862070688,864515666,868980043,862814655,866670495,856377255,862593303,867040649,865387837
STAT,(NULL),InitPushTime,32,1901470,30236,12128,98167,38702,36799,36596,36677,36386,36298,35455,35382,35573,35206,34669,35731,35561,35003,34769,33713,34417,34517,34269,109171,109553,108578,108313,108416,108350,108167,108203,108203,108262
STAT,(NULL),Iterations,32,26559511,622010,845334,845317,853688,848919,853794,847147,846792,847790,851984,850792,851836,849134,855825,841109,841418,842842,852290,853569,846325,841830,842855,809610,809688,812717,815555,813230,816239,808877,811524,815118,814353
STAT,(NULL),LoopTime,32,14496256384,14496256384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
