==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/road/USA-road-d.USA.gr
INFO: Hostname rack-mad-04
Read 23947347 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 2025
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,17570099317,3803228630,836391632,900524153,1301525766,1409894995,671848671,1040563852,846629698,1947328040,370115994,1134875516,627647526,579871434,913103371,668420948,518129091
STAT,(NULL),BarrierTime,16,244256381,17976484,16610233,17680648,18057287,15031335,244500,14939102,15026146,14991719,16805909,17398974,14698009,17294212,17584900,16331829,13585094
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,4314098403577,34044191791,178636086840,229209464170,221132991020,480756060358,383029125564,230305535589,247401083029,181891675978,189426010706,257633179084,354087652945,234020377639,346756894936,230234739293,515533334635
STAT,(NULL),EmptyWork,16,655092981,52404253,41036713,42224501,51716605,41477919,32140414,45807918,40385486,62085547,37273122,37659421,30997832,41347737,33604689,36604162,28326662
STAT,(NULL),GaloisTime,16,36580021670,3267670109,2448900518,2545016467,3048978119,2288552927,1656786625,2512895724,2126410982,3352448666,1887570162,2178491050,1808694552,2155652126,1845903698,2037020918,1419029027
STAT,(NULL),InitPushTime,16,1291791,248716,270555,303054,36286,36344,35807,36192,37076,37082,36599,35877,35589,35391,35601,35746,35876
STAT,(NULL),Iterations,16,34210963,2467766,2325498,2416685,2911323,2204333,1590108,2401948,2023910,3183935,1787632,2058613,1716920,2057133,1768854,1931488,1364817
STAT,(NULL),LoopTime,16,576452984806,576452984806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,2208,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
STAT,(NULL),MeminfoPre,16,2208,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
STAT,(NULL),NumaPost,16,6553,4939,220,1193,201,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,4720868331689,526891970782,385178325220,333855063755,340205031477,84563485468,184921795709,332640007172,318019796195,377867339252,376877909482,307146299033,212391621815,330948068405,220081878246,335709532471,53570207207
STAT,(NULL),PushTime,16,69956190242,5405420690,4681708773,5164521343,5290298512,3805863119,3057322917,5391031488,4097302182,5877721599,3958613425,4674871896,4090329254,4448537468,3565467832,3830544752,2616634992
STAT,(NULL),RusageSys,16,224000,224000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,4193940000,4193940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,577474812784,577474812784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,586877383305,586877383305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,73655573398,6323890355,5000856654,5169527480,6256669301,4533273726,3306324428,5093525453,4303587284,6937334138,3799452664,4315697447,3579591538,4372310175,3702262404,4138860923,2822409428
STAT,(NULL),Work,16,9215814303542,575985623112,575986964778,575985862107,575985723817,575988752483,576003538710,575988843717,575988603171,575988642783,575986867171,575986237452,575988938861,575986331503,575986050774,575987341084,575989982019
STAT,(NULL),nBad,16,19656061,4287674,917946,996168,1398865,1634031,753345,1186224,948315,2095865,421462,1333908,707746,665561,977653,727359,603939
STAT,(NULL),nEmpty,16,2409191,162078,151800,151900,191982,158994,117406,171841,147086,229743,139571,144049,117884,154427,126977,134374,109079
STAT,(NULL),nEmptyPop,16,650171,7287,30851,38932,37039,63881,36311,36561,43136,32612,34928,42514,32887,42942,62008,38479,69803
STAT,(NULL),nOverall,16,77989402,5719414,5272490,5448565,6589140,5044756,3624278,5452940,4618246,7263318,4098141,4714647,3906323,4715737,4008613,4368357,3144437
STAT,(NULL),nPop,16,34210963,2467766,2325498,2416685,2911323,2204333,1590108,2401948,2023910,3183935,1787632,2058613,1716920,2057133,1768854,1931488,1364817
STAT,(NULL),nPush,16,34210960,2468533,2325945,2416748,2912475,2204461,1588956,2403548,2023846,3185343,1785968,2059573,1715832,2057453,1767318,1930144,1364817
STAT,(NULL),nPushInit,16,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),qPopEmpty,16,18964767855,932348025,1197610480,1197423580,1191563301,1203839667,1211712991,1196235436,1202697765,1186465787,1206018835,1202030956,1209117755,1202639910,1207662458,1203427714,1213973195
STAT,(NULL),qPopEmptyCyc,16,4769107500504,294590267668,297788035972,297271027041,295857998453,298076794423,299839354058,297249741767,298873519859,294990601331,299342276651,298339030640,299172338198,298427880595,299426999750,299076649212,300784984886
STAT,(NULL),qPopFast,16,31560409,2297407,2129100,2231327,2715978,2077760,1465830,2204084,1852606,2970701,1612936,1896078,1581177,1890605,1612347,1751408,1271065
STAT,(NULL),qPopFastCyc,16,18395840865,1657229935,1221180197,1275718753,1552073678,1182594829,835630623,1265190820,1057769809,1697899448,925996405,1083606783,906364072,1080709680,924654396,1005980727,723240710
STAT,(NULL),qPopLocal,16,750,72,37,44,34,49,38,41,46,59,55,46,35,50,50,53,41
STAT,(NULL),qPopLocalCyc,16,1099386,109630,55884,66598,50478,70191,59502,59633,66038,81796,78281,64514,52864,71147,74539,77256,61035
STAT,(NULL),qPopRemote,16,2649804,170287,196361,185314,195311,126524,124240,197823,171258,213175,174641,162489,135708,166478,156457,180027,93711
