==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/clique4000.gr
INFO: Hostname rack-mad-04
Read 4000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 3
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,570227896,30946460,43778812,42177764,35960380,34289472,40604216,28090468,13482916,25431724,27258372,39372296,35591336,68430956,50313128,25382220,29117376
STAT,(NULL),BarrierTime,16,1306708,108004,93756,96752,95116,81884,101776,89552,84116,87328,74544,78888,84788,72664,77104,74964,5472
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,749405510,59321112,26523440,12911448,35251484,51562936,48704452,61211580,97493274,64248156,60819480,19852768,59699528,56856,26285376,63361128,62102492
STAT,(NULL),EmptyWork,16,5279976,387132,276296,307992,237304,273312,434548,256428,361008,427192,414300,460444,229000,306256,298004,280076,330684
STAT,(NULL),GaloisTime,16,69460648,3721412,2866616,1877756,3469296,4716776,4708868,5484080,8346288,5875724,5590724,2580084,5248300,934112,2868120,5580648,5591844
STAT,(NULL),InitPushTime,16,4292676,418764,369124,364468,300888,280972,293160,274536,228264,230292,205640,201832,234576,244836,203536,204900,236888
STAT,(NULL),Iterations,16,29082,2132,1634,1781,1430,1577,2365,1483,1857,2202,2158,2419,1367,1719,1655,1538,1765
STAT,(NULL),LoopTime,16,321495436,321495436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),MeminfoPre,16,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),NumaPost,16,2861,1716,256,846,43,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,43018444,3080416,2368180,2575972,2071676,2276076,3394224,2144220,2808884,3319300,3250204,3637704,1984648,2604964,2501220,2336488,2664268
STAT,(NULL),PushTime,16,12065368,977244,874552,723828,861952,659336,654968,913540,677020,742212,835720,507556,885036,730684,817376,571520,632824
STAT,(NULL),RusageSys,16,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,2284000,2284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,322858400,322858400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,1910096227,1910096227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,4245228284,252781644,287369620,301881364,278388204,260791172,262382372,250268892,210593344,245667034,249368296,293241032,252232560,315647282,287508594,248149390,248957484
STAT,(NULL),Work,16,5125857110,320349500,320365848,320366296,320366956,320366996,320368648,320365300,320366522,320367286,320368280,320368088,320367148,320367594,320367234,320366954,320368460
STAT,(NULL),nBad,16,2453866,132261,190055,182456,152692,149115,173812,122138,57500,109232,114364,171015,152000,298456,215716,108421,124633
STAT,(NULL),nEmpty,16,24441,1847,1314,1444,1121,1286,2072,1206,1632,1939,1892,2104,1088,1379,1347,1272,1498
STAT,(NULL),nEmptyPop,16,479199,23989,17370,8565,22936,33842,32147,40774,64261,42612,40443,13177,39049,31,17323,41743,40937
STAT,(NULL),nOverall,16,18449866,1124261,1274055,1338456,1232692,1157115,1161812,1106138,893500,1041232,1058364,1255015,1116000,1354456,1227716,1052421,1056633
STAT,(NULL),nPop,16,29082,2132,1634,1781,1430,1577,2365,1483,1857,2202,2158,2419,1367,1719,1655,1538,1765
STAT,(NULL),nPush,16,25083,2075,1896,1531,1820,1391,1411,1937,1351,1504,1716,1017,1885,1469,1661,1160,1259
STAT,(NULL),nPushInit,16,3999,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
STAT,(NULL),qPopEmpty,16,958398,47978,34740,17130,45872,67684,64294,81548,128522,85224,80886,26354,78098,62,34646,83486,81874
STAT,(NULL),qPopEmptyCyc,16,292808868,13482436,10904092,5210816,14662048,21159504,19821556,24577132,37998264,25966484,24484288,8006240,24624556,21964,10724356,25847756,25317376
STAT,(NULL),qPopFast,16,28620,2098,1608,1753,1407,1552,2328,1459,1827,2167,2124,2381,1345,1692,1629,1513,1737
STAT,(NULL),qPopFastCyc,16,18672752,1334120,1031760,1120952,900404,986820,1470968,931092,1219912,1437932,1409924,1581808,862508,1135760,1087232,1010460,1151100
STAT,(NULL),qPopLocal,16,446,33,25,27,22,24,36,23,29,34,33,37,21,26,25,24,27
STAT,(NULL),qPopLocalCyc,16,1300192,92872,71584,76676,62720,68948,98860,65900,85116,101536,97476,106828,61880,78664,73180,77092,80860
STAT,(NULL),qPopRemote,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
