==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-obim  ===
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl obim -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/scalefree/rmat16p-2e24.gr
INFO: Hostname rack-mad-04
Read 16777216 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 256
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 2
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,744382185101,20414744922,23353792049,23374741704,23391965811,23361191324,23387834479,23371743616,23349775560,23394015204,23410779245,23350027480,23342554162,23340195593,23374848419,23225181986,23203236334,23199286203,23341382019,23362149405,23243683869,23203241202,23177063298,23402190248,23346894894,23397746490,23477202078,23429775089,23441410949,23373335481,23403063791,23493009404,23444122793
STAT,(NULL),BarrierTime,32,2161066,13047,58008,60899,71195,72059,63284,92995,63845,72030,78587,74090,67323,62868,84346,86131,59668,92989,56963,91674,64051,83027,92464,60107,60553,59284,59586,60256,60162,58987,60380,60122,60086
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,9393777,222630,277285,346457,355418,368857,221463,371171,282070,339632,169003,307383,273889,264716,273016,364505,147424,390041,304652,322488,356898,302603,157836,377080,313528,278027,276003,260318,285589,321068,379586,267163,215978
STAT,(NULL),EmptyWork,32,16162545979,493809575,490096178,492438425,498644417,485517494,485361705,497358987,496926890,502982993,498591398,493636248,517395062,487276094,497574654,492688718,495486150,504066029,488949919,502880811,494152324,489117980,486910101,531671342,523631821,526748793,520128802,523791938,511590739,538081498,518760039,547738046,528540809
STAT,(NULL),GaloisTime,32,78758577342,2784191430,2456908103,2458717649,2464413194,2461033352,2458353563,2456582996,2461468678,2458095582,2468461912,2463448459,2448717680,2466358815,2460442388,2447919865,2445835485,2446868213,2453731948,2460336972,2444892523,2449138767,2445490083,2432214121,2447804405,2436937628,2448144414,2434011415,2446570242,2438228890,2430920404,2444022565,2438315601
STAT,(NULL),InitPushTime,32,8948878,334032,340095,332583,315386,314403,336482,304143,331791,311265,278238,281761,317377,320199,301570,296450,322836,298083,311532,278751,144229,160257,147658,189209,268294,270637,259521,270366,264738,262977,262752,260425,260838
STAT,(NULL),Iterations,32,122885652,3329933,3860314,3861955,3886758,3867387,3876125,3868787,3863446,3861837,3878724,3883818,3859862,3862792,3873276,3852138,3841104,3852708,3859680,3865529,3839898,3842353,3843866,3836081,3849641,3840438,3850792,3840697,3849811,3839933,3835453,3855991,3854525
STAT,(NULL),LoopTime,32,40639879911,40639879911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
